0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2562083473601707e-21,0.0,2.2562083473601707e-21,0.0,2.2562083473601707e-21,0.0,0.0,2.2562083473601707e-21,-4.5124166947203414e-21,-2.2562083473601707e-21,2.2562083473601707e-21,2.2562083473601707e-21,5.0014008550872234e-08,5.001400855086772e-08,5.033689933168409e-08,5.043909493116316e-08,5.0439094931160904e-08,5.033689933168184e-08,5.033689933168184e-08,5.0439094931160904e-08,5.0439094931160904e-08,5.033689933167958e-08,5.0014008550865465e-08,5.001400855086772e-08
5.033689933168184e-08,5.033689933168409e-08,5.0014008550865465e-08,5.043909493116316e-08,5.0439094931160904e-08,5.0014008550865465e-08,5.001400855086772e-08,5.0439094931160904e-08,5.043909493115865e-08,5.0014008550865465e-08,5.033689933168635e-08,5.033689933168635e-08,2.2562083473601707e-21,4.5124166947203414e-21,-2.2562083473601707e-21,-3.384312521040256e-21,0.0,0.0,2.2562083473601707e-21,-2.2562083473601707e-21,-2.2562083473601707e-21,-4.5124166947203414e-21,2.2562083473601707e-21,-2.2562083473601707e-21
-4.189063198105435e-08,4.189063198106112e-08,-1.2750728284140168e-07,-4.479219487674559e-08,4.479219487674333e-08,1.2750728284140168e-07,-1.2750728284140393e-07,-4.479219487674559e-08,4.479219487674108e-08,1.2750728284140168e-07,-4.189063198104984e-08,4.189063198106338e-08,-1.2750728284140282e-07,-1.275072828413983e-07,-4.189063198105435e-08,-4.4792194876747846e-08,-4.4792194876747846e-08,-4.189063198105435e-08,4.189063198105435e-08,4.479219487674559e-08,4.4792194876747846e-08,4.189063198105435e-08,1.275072828414062e-07,1.2750728284140507e-07
-8.980086822635593e-08,-8.980086822635481e-08,-2.911830601060843e-08,-3.1460551475135825e-08,-3.146055147513921e-08,-2.911830601060843e-08,2.911830601060843e-08,3.146055147513357e-08,3.1460551475129055e-08,2.9118306010606174e-08,8.980086822636158e-08,8.980086822636271e-08,-2.911830601060166e-08,2.9118306010612944e-08,-8.980086822635707e-08,-3.1460551475135825e-08,3.146055147513131e-08,8.980086822635707e-08,-8.980086822635932e-08,-3.1460551475135825e-08,3.1460551475135825e-08,8.980086822635707e-08,-2.9118306010606174e-08,2.911830601060843e-08
2.936571250429887e-08,-2.9365712504296613e-08,8.936876605484809e-08,3.1401223597250944e-08,-3.140122359725658e-08,-8.93687660548526e-08,8.936876605485036e-08,3.140122359724869e-08,-3.140122359725658e-08,-8.93687660548526e-08,2.936571250430338e-08,-2.9365712504294357e-08,-8.936876605484809e-08,-8.936876605484584e-08,-2.936571250429887e-08,-3.140122359725207e-08,-3.1401223597254326e-08,-2.936571250430338e-08,2.9365712504296613e-08,3.140122359724869e-08,3.140122359725207e-08,2.936571250429887e-08,8.93687660548526e-08,8.936876605485036e-08
2.420772577537282e-08,2.4207725775375077e-08,2.2524945743510597e-07,-7.010775144881639e-08,-7.010775144881865e-08,2.2524945743510597e-07,2.2524945743510822e-07,-7.010775144881639e-08,-7.010775144881865e-08,2.2524945743510597e-07,2.4207725775370564e-08,2.4207725775375077e-08,7.249151998844716e-08,-7.249151998843814e-08,7.296483366054399e-08,2.7303592435082232e-08,-2.7303592435086742e-08,-7.29648336605485e-08,-7.29648336605485e-08,-2.730359243508449e-08,2.7303592435086742e-08,7.296483366054624e-08,-7.24915199884449e-08,7.249151998844265e-08
7.296483366054624e-08,-7.296483366054399e-08,7.249151998844265e-08,2.7303592435086742e-08,-2.7303592435086742e-08,-7.249151998844716e-08,-7.249151998844265e-08,-2.7303592435088998e-08,2.7303592435079975e-08,7.249151998844039e-08,-7.296483366054399e-08,7.296483366055075e-08,2.2524945743510822e-07,2.2524945743511047e-07,2.4207725775370564e-08,-7.010775144881639e-08,-7.010775144881865e-08,2.420772577536831e-08,2.4207725775370564e-08,-7.010775144881865e-08,-7.010775144881639e-08,2.4207725775370564e-08,2.2524945743510822e-07,2.2524945743510597e-07
1.0092839103298404e-07,1.0092839103298855e-07,-1.0053613753484106e-07,1.0271737429844238e-10,1.0271737429618618e-10,-1.0053613753483767e-07,-1.0053613753483316e-07,1.0271737429618618e-10,1.0271737429505807e-10,-1.0053613753483992e-07,1.0092839103298855e-07,1.0092839103298629e-07,7.248163328120605e-08,-7.248163328120266e-08,7.295492806079337e-08,2.7299875347353795e-08,-2.729987534735154e-08,-7.295492806079788e-08,-7.295492806079563e-08,-2.729987534735154e-08,2.729987534735605e-08,7.295492806079563e-08,-7.248163328120718e-08,7.24816332812038e-08
-7.295492806079563e-08,7.295492806080014e-08,-7.248163328120718e-08,-2.7299875347349285e-08,2.7299875347348157e-08,7.248163328120605e-08,7.248163328121056e-08,2.7299875347350414e-08,-2.7299875347358308e-08,-7.248163328120831e-08,7.295492806080014e-08,-7.295492806079224e-08,1.0053613753483992e-07,1.0053613753483767e-07,-1.0092839103298629e-07,-1.0271737429731427e-10,-1.027173743018267e-10,-1.0092839103298967e-07,-1.0092839103298967e-07,-1.027173743018267e-10,-1.0271737429957048e-10,-1.0092839103298855e-07,1.0053613753483767e-07,1.0053613753483767e-07
-4.899493959838203e-08,4.8994939598386545e-08,-1.6055167135584687e-07,1.0144672406527741e-07,-1.0144672406527854e-07,1.6055167135584237e-07,-1.6055167135584462e-07,1.0144672406527741e-07,-1.0144672406528305e-07,1.6055167135584237e-07,-4.8994939598379775e-08,4.8994939598386545e-08,-1.605516713558401e-07,-1.605516713558401e-07,-4.8994939598386545e-08,1.0144672406527966e-07,1.0144672406527741e-07,-4.899493959838429e-08,4.899493959838203e-08,-1.0144672406527854e-07,-1.0144672406527629e-07,4.8994939598386545e-08,1.6055167135584687e-07,1.6055167135584237e-07
-7.779655473768204e-08,7.77965547376843e-08,1.952334061706235e-07,-8.10150473456271e-08,8.10150473456271e-08,-1.9523340617062913e-07,1.9523340617063026e-07,-8.10150473456271e-08,8.101504734562258e-08,-1.95233406170628e-07,-7.779655473767979e-08,7.77965547376843e-08,-1.952334061706235e-07,-1.9523340617062574e-07,7.77965547376843e-08,8.101504734562485e-08,8.10150473456271e-08,7.779655473768204e-08,-7.779655473768543e-08,-8.101504734562936e-08,-8.10150473456271e-08,-7.779655473768543e-08,1.95233406170628e-07,1.9523340617062574e-07
-2.8259229047774324e-08,-2.8259229047774324e-08,-1.4556326251945512e-07,6.080276869724247e-08,6.080276869723909e-08,-1.4556326251945284e-07,1.455632625194506e-07,-6.080276869724021e-08,-6.080276869724472e-08,1.455632625194506e-07,2.8259229047774324e-08,2.8259229047778838e-08,-1.455632625194506e-07,1.4556326251945512e-07,-2.8259229047778838e-08,6.080276869724247e-08,-6.080276869724247e-08,2.8259229047774324e-08,-2.8259229047778838e-08,6.080276869723909e-08,-6.080276869723796e-08,2.8259229047774324e-08,-1.4556326251945173e-07,1.4556326251945284e-07
1.1176118452922982e-07,-1.1176118452922757e-07,-8.350554611128491e-08,1.0273515922867163e-08,-1.0273515922864906e-08,8.350554611128152e-08,-8.350554611128491e-08,1.027351592286265e-08,-1.0273515922867163e-08,8.350554611128152e-08,1.1176118452923207e-07,-1.117611845292287e-07,-8.350554611128152e-08,-8.350554611128152e-08,1.1176118452923207e-07,1.0273515922864906e-08,1.027351592286265e-08,1.1176118452922982e-07,-1.1176118452923095e-07,-1.0273515922866034e-08,-1.0273515922863778e-08,-1.1176118452923321e-07,8.350554611128377e-08,8.350554611128152e-08
