,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3.139095555256114e-07,-0.0,3.139095555256091e-07,2.2562083473601707e-21,3.1390406348148015e-07,-0.0,3.1409534746940263e-07,-2.2562083473601707e-21,3.140953474694094e-07,2.2562083473601707e-21,3.1390406348148465e-07,2.2562083473601707e-21,3.1390406348147787e-07,-0.0,3.140953474694049e-07,4.5124166947203414e-21,3.1409534746940263e-07,2.2562083473601707e-21,3.1390406348148237e-07,-0.0,3.139095555256069e-07,2.2562083473601707e-21,3.139095555256114e-07,-2.2562083473601707e-21
1,-2.2562083473601707e-21,-3.1390406348148015e-07,-4.5124166947203414e-21,-3.139040634814756e-07,0.0,-3.139095555256136e-07,0.0,-3.140953474694071e-07,0.0,-3.140953474694094e-07,2.2562083473601707e-21,-3.139095555256091e-07,0.0,-3.139095555256159e-07,0.0,-3.140953474694049e-07,0.0,-3.140953474694071e-07,2.2562083473601707e-21,-3.139095555256114e-07,0.0,-3.1390406348148015e-07,0.0,-3.1390406348148015e-07
2,-2.6074843582663427e-07,-8.008471633752537e-07,2.6074843582663427e-07,-8.008471633752583e-07,-8.008471633752549e-07,-2.60748435826632e-07,-2.7848316002055433e-07,-2.784831600205589e-07,2.784831600205566e-07,-2.784831600205566e-07,8.008471633752525e-07,-2.6074843582663427e-07,-8.008471633752549e-07,2.6074843582663877e-07,-2.784831600205566e-07,2.784831600205521e-07,2.784831600205589e-07,2.7848316002055433e-07,8.008471633752537e-07,2.6074843582663877e-07,-2.6074843582663427e-07,8.008471633752525e-07,2.607484358266365e-07,8.008471633752571e-07
3,5.614439404361071e-07,1.828952782348049e-07,5.614439404361081e-07,-1.8289527823480378e-07,1.828952782348015e-07,5.614439404361081e-07,1.9560714325436717e-07,1.9560714325436153e-07,1.9560714325436153e-07,-1.9560714325436378e-07,1.828952782348004e-07,-5.614439404361071e-07,-1.828952782348004e-07,5.614439404361081e-07,-1.9560714325436153e-07,1.9560714325435703e-07,-1.9560714325436153e-07,-1.9560714325436606e-07,-1.8289527823480717e-07,-5.614439404361025e-07,-5.614439404361059e-07,1.828952782348004e-07,-5.614439404361037e-07,-1.828952782348049e-07
4,-1.825850642147929e-07,5.610815410517808e-07,1.825850642147963e-07,5.610815410517808e-07,-5.610815410517808e-07,1.8258506421479968e-07,-1.9503730442968684e-07,1.9503730442968459e-07,1.950373044296778e-07,1.9503730442968909e-07,5.610815410517752e-07,1.8258506421479743e-07,-5.610815410517786e-07,-1.825850642147929e-07,-1.9503730442968684e-07,-1.9503730442968909e-07,1.9503730442968684e-07,-1.9503730442968909e-07,5.610815410517752e-07,-1.8258506421479065e-07,-1.825850642147929e-07,-5.610815410517831e-07,1.825850642147963e-07,-5.610815410517808e-07
5,-4.557648310814466e-07,-1.4146591572435264e-06,4.557648310814433e-07,-1.4146591572435243e-06,-4.555554531335929e-07,-1.516707397205231e-07,-1.696498522916101e-07,4.37280863483745e-07,1.6964985229160785e-07,4.372808634837427e-07,4.555554531335929e-07,-1.5167073972052086e-07,4.555554531335929e-07,-1.516707397205254e-07,1.6964985229160785e-07,4.37280863483745e-07,-1.696498522916101e-07,4.372808634837427e-07,-4.555554531335895e-07,-1.5167073972052086e-07,4.557648310814433e-07,-1.414659157243522e-06,-4.557648310814489e-07,-1.414659157243522e-06
6,1.5167073972052086e-07,4.555554531335906e-07,1.516707397205141e-07,-4.555554531335883e-07,1.4146591572435243e-06,4.557648310814421e-07,-4.372808634837427e-07,1.6964985229160785e-07,-4.372808634837427e-07,-1.6964985229160785e-07,1.4146591572435287e-06,-4.557648310814478e-07,1.4146591572435243e-06,-4.5576483108145e-07,-4.372808634837427e-07,-1.6964985229160335e-07,-4.37280863483745e-07,1.696498522916101e-07,1.4146591572435264e-06,4.557648310814444e-07,1.5167073972051636e-07,-4.555554531335883e-07,1.516707397205186e-07,4.555554531335929e-07
7,-4.557027960617001e-07,6.313558738207523e-07,4.5570279606170123e-07,6.313558738207512e-07,-4.5549329775631054e-07,-6.317709925735394e-07,-1.6962667784857919e-07,-3.3172026886119686e-10,1.6962667784857805e-07,-3.3172026886345304e-10,4.5549329775631504e-07,-6.31770992573535e-07,4.5549329775630826e-07,-6.31770992573535e-07,1.6962667784857805e-07,-3.317202688589406e-10,-1.6962667784857694e-07,-3.3172026886570923e-10,-4.5549329775630937e-07,-6.317709925735372e-07,4.5570279606169673e-07,6.313558738207546e-07,-4.557027960617024e-07,6.313558738207523e-07
8,-6.317709925735372e-07,-4.5549329775631276e-07,-6.31770992573535e-07,4.5549329775631165e-07,6.313558738207512e-07,-4.5570279606170123e-07,-3.3172026886570923e-10,-1.6962667784857805e-07,-3.3172026886570923e-10,1.6962667784857694e-07,6.313558738207535e-07,4.55702796061699e-07,6.313558738207489e-07,4.557027960616956e-07,-3.3172026886570923e-10,1.6962667784858144e-07,-3.3172026886796547e-10,-1.696266778485758e-07,6.313558738207535e-07,-4.557027960617035e-07,-6.317709925735394e-07,4.5549329775631276e-07,-6.31770992573536e-07,-4.5549329775631054e-07
9,-3.068325529350508e-07,-1.0058200181018362e-06,3.0683255293505534e-07,-1.0058200181018396e-06,-1.0058200181018362e-06,-3.0683255293504967e-07,6.346905864377855e-07,6.346905864377776e-07,-6.346905864377821e-07,6.346905864377821e-07,1.005820018101834e-06,-3.068325529350508e-07,-1.005820018101834e-06,3.0683255293505534e-07,6.346905864377821e-07,-6.346905864377866e-07,-6.346905864377821e-07,-6.346905864377821e-07,1.005820018101834e-06,3.0683255293505534e-07,-3.0683255293504856e-07,1.0058200181018362e-06,3.0683255293505417e-07,1.005820018101834e-06
